FarmID,PlantingDate,CompanyHybrid,Seeding Rate(plants/ac)
1,5/31/2024,Channel 214-78DGVT2PRIB,33000
2,5/8/2024,AgVenture AV8614AM,24000
3,5/8/2024,Axis 63F60 SSPRIB,23500
4,5/8/2024,Pioneer P1122AML,28000
5,5/8/2024,Pioneer P1122AML,26500
6,5/15/2024,Pioneer P1122AML,25000
7,5/8/2024,Pioneer P0859AM,31000
8,5/8/2024,Pioneer P1122AML,24000
9,5/8/2024,Dekalb DKC61-41,22000
10,5/8/2024,DynaGro D54VC14RIB,28000
11,5/8/2024,Pioneer P1122AML,24000
12,5/15/2024,Golden Harvest G10L16 DV,26000
13,5/15/2024,Channel 204-54TRERIB,23000
14,5/8/2024,AgriGold A643-52VT2RIB,28000
15,5/8/2024,Dekalb DKC108-64RIB,25000
16,5/8/2024,Channel 200-48VT2PRIB,23000
17,5/8/2024,Channel 213-19VT2,28000
18,5/31/2024,Dekalb DKC105-33RIB,28000
19,5/15/2024,Golden Harvest G10L16 DV,22000
20,5/15/2024,Pioneer P1366AML,30000
21,5/8/2024,Beck's 6414V2P,24000
22,5/31/2024,Beck's 5864AM,24000
23,5/8/2024,Pioneer P1122AML,36000
24,5/8/2024,Channel 212-02VT2PRIB,25000
25,5/8/2024,Golden Harvest G16Q82 DV,28000
26,5/8/2024,Pioneer P1122AML,25500
27,5/15/2024,Pioneer P1366AML,34000
28,5/15/2024,DynaGro D56TC44RIB,28000
29,5/15/2024,Pioneer P1366AML,28000
30,5/8/2024,Pioneer P1122AML,26000
31,5/8/2024,Channel 212-02VT2PRIB,28000
32,5/8/2024,Brevant B04Z92AM,28000
33,5/8/2024,Brevant B04Z92AM,28000
34,5/8/2024,Brevant B04Z92AM,28000
