FarmID,4/25/2024,5/23/2024,6/11/2024,6/18/2024,6/25/2024,7/2/2024,7/9/2024,7/10/2024,7/16/2024,7/17/2024,7/23/2024,7/23/2024,7/30/2024,8/6/2024,8/7/2024,8/13/2024,8/20/2024,8/27/2024,9/3/2024,9/10/2024,Total
1,0.25,0,0,0,0.5,0,0,1,0,1,0,0,1,0.2,0.8,1,1,1,1,1,9.75
2,0.25,0,0,1,1,1,0,1,0,1,0,1,1,0.15,0.85,1,1,1,1,1,13.25
3,0.25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0.75,0,0.5,7.5
4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5,0.25,0,0,0,1,1,0,0,0,0,0.3,0.7,1,0.3,0.7,1,1,1,1,1,10.25
6,0.25,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,6.25
7,0.25,0,0,0,1,0,0,0,0.2,0.8,0,0.6,1,0.2,0.8,1,0.75,0.65,0,0,7.25
8,0.25,0,0,0,0,0,0,1,0.25,0.75,0,1,1,0,1,0,1,0,0.65,0,6.9
9,0.25,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,7.25
10,0.25,0,0,0,1,0.5,0.3,0.7,0.3,0.7,0.3,0.7,1,0.3,0.7,0.6,1,0,1,1,10.35
11,0.25,0,0,0,1,0,0.3,0,0.3,0.7,0.3,0,1,0,1,1,0,1,0,0,6.85
12,0.25,0,0,0,1,1,0,0.5,0.3,0.7,0,1,1,0.3,0.7,0,0.65,0,0,0.25,7.65
13,0.25,0,0,0,0.5,0,0.3,0.7,0.3,0.7,0.3,0.2,1,0.3,0.7,0.75,0.9,0,0,0,6.9
14,0.25,0,0,0,1,1,0,0.25,0.3,0.5,0.3,0.25,1,0.3,0.7,1,0.5,0,0,0.3,7.65
15,0.25,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,11.25
16,0.25,0,0,0,1,0.8,0.3,0,0.25,0.75,0,1,1,0,1,0.7,1,0,0,0,8.05
17,0.25,0,0,0.7,0.5,0.5,0,0.5,0.3,0.7,0.3,0.7,1,0,1,0.9,1,0.75,0.5,0,9.6
18,0.25,0,0,0,0,0,0.3,0,0.3,0.7,0.3,0,1,0.3,0.7,1,1,1,1,1,8.85
19,0.25,0,0,1,0,1,0,0,0,1,0.3,0,1,0,1,0,1,0.5,0,0.6,7.65
20,0.25,0,0,0,0,1,0,0,0,1,0,1,0,0.3,0.7,1,1,0,1,0,7.25
21,0.25,0,0,0,0,0,0.1,0,0.15,0.85,0,0,0,0.15,0.5,0,0,0,0,0,2
22,0.25,0,0,0,0,1,0.3,0.7,0.3,0.7,0,1,1,0,1,1,1,0,1,1,10.25
23,0.25,0,0,0,1,0,0.3,0.7,0,1,0.3,0.7,1,0.3,0.7,1,0,0.5,0,0,7.75
24,0.25,0,1,0,1,1,0.3,0.7,0.3,0.7,0.3,0,1,0.3,0.7,0,1,1,1,1,11.55
25,0.25,0,0,1,1,1,0,0,0.25,0.75,0.25,0.75,1,0.25,0.75,0,1,0,1,0,9.25
26,0.25,0,0,1,1,0,0.3,0.7,0,0,0,0,1,0.3,0.7,1,1,1,0,1,9.25
27,0.25,0,0,1,1,1,0.3,0,0.3,0.7,0.3,0,1,0.3,0.7,0.5,1,1,1,1,11.35
28,0.25,0,0,0,0.5,0,0,1,0,0,0,1,1,0,1,1,1,0.4,0,0,7.15
29,0.25,0,0,0.65,0.65,0.6,0,0,0.3,0.7,0,0.7,0.65,0.3,0.65,0,0,0,0,0,5.45
30,0.25,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,11.25
31,0.25,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,15.25
32,0.25,0,0,0,1,0,0,1,0.3,0.7,0.3,0.5,1,0,0.6,0,0.6,0.4,0,0,6.65
33,0.25,0,0,0,1,0,0,1,0.3,0.7,0.3,0.5,1,0,0.6,0.6,0.6,0.4,0.4,0,7.65
34,0.25,0,0,0,1,0,0,1,0.3,0.7,0.3,0.5,1,0,0.6,0.6,0.6,0.4,0.4,0,7.65
