Timestamp,Accumulated_GDD,Growth_Stage
2024-06-04,421,Vegetative
2024-06-05,440,Vegetative
2024-06-06,461,Vegetative
2024-06-07,484,Vegetative
2024-06-08,506,Tasseling
2024-06-09,523,Tasseling
2024-06-10,540,Tasseling
2024-06-11,562,Tasseling
2024-06-12,587,Tasseling
2024-06-13,611,Tasseling
2024-06-14,636,Tasseling
2024-06-15,660,Tasseling
2024-06-16,685,Tasseling
2024-06-17,713,Tasseling
2024-06-18,737,Tasseling
2024-06-19,750,Tasseling
2024-06-20,775,Tasseling
2024-06-21,801,Silking
2024-06-22,828,Silking
2024-06-23,853,Silking
2024-06-24,880,Silking
2024-06-25,908,Silking
2024-06-26,935,Silking
2024-06-27,962,Silking
2024-06-28,989,Silking
2024-06-29,1012,Silking
2024-06-30,1029,Silking
2024-07-01,1054,Silking
2024-07-02,1081,Silking
2024-07-03,1103,Dough
2024-07-04,1120,Dough
2024-07-05,1136,Dough
2024-07-06,1157,Dough
2024-07-07,1173,Dough
2024-07-08,1191,Dough
2024-07-09,1210,Dough
2024-07-10,1233,Dough
2024-07-11,1254,Dough
2024-07-12,1277,Dough
2024-07-13,1301,Dough
2024-07-14,1325,Dough
2024-07-15,1350,Dough
2024-07-16,1376,Dough
2024-07-17,1399,Dough
2024-07-18,1422,Maturity
2024-07-19,1445,Maturity
2024-07-20,1466,Maturity
2024-07-21,1485,Maturity
2024-07-22,1505,Maturity
2024-07-23,1526,Maturity
2024-07-24,1548,Maturity
2024-07-25,1569,Maturity
2024-07-26,1593,Maturity
2024-07-27,1621,Maturity
2024-07-28,1645,Maturity
2024-07-29,1670,Maturity
2024-07-30,1694,Maturity
2024-07-31,1719,Maturity
2024-08-01,1741,Maturity
2024-08-02,1765,Maturity
2024-08-03,1793,Maturity
2024-08-04,1814,Maturity
2024-08-05,1842,Maturity
2024-08-06,1865,Maturity
2024-08-07,1889,Maturity
2024-08-08,1907,Maturity
2024-08-09,1915,Maturity
2024-08-10,1926,Maturity
2024-08-11,1944,Maturity
2024-08-12,1961,Maturity
2024-08-13,1986,Maturity
2024-08-14,2011,Maturity
2024-08-15,2033,Maturity
2024-08-16,2056,Maturity
2024-08-17,2078,Maturity
2024-08-18,2105,Maturity
2024-08-19,2129,Maturity
2024-08-20,2153,Maturity
2024-08-21,2178,Maturity
2024-08-22,2205,Maturity
2024-08-23,2228,Maturity
2024-08-24,2255,Maturity
2024-08-25,2279,Maturity
2024-08-26,2305,Maturity
2024-08-27,2329,Maturity
2024-08-28,2352,Maturity
2024-08-29,2373,Maturity
2024-08-30,2391,Maturity
2024-08-31,2409,Maturity
2024-09-01,2427,Maturity
2024-09-02,2448,Maturity
2024-09-03,2469,Maturity
2024-09-04,2490,Maturity
2024-09-05,2506,Maturity
2024-09-06,2524,Maturity
2024-09-07,2543,Maturity
2024-09-08,2561,Maturity
2024-09-09,2582,Maturity
2024-09-10,2601,Maturity
2024-09-11,2613,Maturity
